MsgID.GLOBAL_POSITION,1521090489.3835788,-122.3974516,37.7924794,0.0780000
MsgID.LOCAL_VELOCITY,1521090489.3835788,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521090489.3838971,-0.0567177,-0.1465551,-0.0783231
MsgID.LOCAL_VELOCITY,1521090489.3838971,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1521090489.3841369,False,False
MsgID.GLOBAL_HOME,1521090489.3844650,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521090489.3845780,-122.3974496,37.7924783,0.0500000
MsgID.LOCAL_VELOCITY,1521090489.3845780,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521090489.3846960,-0.1872668,0.0365289,-0.0499223
MsgID.LOCAL_VELOCITY,1521090489.3846960,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521090489.3848240,-122.3974491,37.7924791,0.0160000
MsgID.LOCAL_VELOCITY,1521090489.3848240,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521090489.3849349,-0.0995465,0.0794090,-0.0160940
MsgID.LOCAL_VELOCITY,1521090489.3849349,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521090489.3850539,-122.3974495,37.7924796,-0.0160000
MsgID.LOCAL_VELOCITY,1521090489.3850539,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521090489.3851619,-0.0406968,0.0404505,0.0172841
MsgID.LOCAL_VELOCITY,1521090489.3851619,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521090489.6048000,-122.3974500,37.7924801,-0.0360000
MsgID.LOCAL_VELOCITY,1521090489.6048000,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1521090489.6050160,0.0116036,-0.0000287,0.0368959
MsgID.LOCAL_VELOCITY,1521090489.6050160,0.0002064,-0.0006359,-0.0381293
MsgID.STATE,1521090489.8508039,True,True
